start_ticks,channel,end_beats,end_s,end_ticks,key_signature,length_beats,length_s,length_ticks,note,start_beats,start_s,time_signature,track,velocity
16896,1,66.4921875,28.909606265625,17022,D,66.4921875,0.21399426562500068,126,30,66.0,28.695612,4 4,Piano,33
17152,1,67.4921875,29.344388265625,17278,D,67.4921875,0.21399426562500068,126,37,67.0,29.130394,4 4,Piano,43
17408,0,68.24609375,29.66915922265625,17471,D,68.24609375,0.10398322265625026,63,35,68.0,29.565176,4 4,Piano,28
17408,1,68.4921875,29.7731424453125,17534,D,68.4921875,0.20796644531250053,126,23,68.0,29.565176,4 4,Piano,30
17536,0,68.74609375,29.88042672265625,17599,D,68.74609375,0.10398322265624671,63,37,68.5,29.776443500000003,4 4,Piano,35
17664,0,69.24609375,30.09169422265625,17727,D,69.24609375,0.10398322265625026,63,38,69.0,29.987711,4 4,Piano,37
17664,1,69.4921875,30.1956774453125,17790,D,69.4921875,0.20796644531250053,126,30,69.0,29.987711,4 4,Piano,38
17792,0,69.74609375,30.30296172265625,17855,D,69.74609375,0.10398322265624671,63,40,69.5,30.198978500000003,4 4,Piano,37
17920,0,70.24609375,30.51422922265625,17983,D,70.24609375,0.10398322265625026,63,42,70.0,30.410246,4 4,Piano,52
17920,1,70.4921875,30.6182124453125,18046,D,70.4921875,0.20796644531250053,126,23,70.0,30.410246,4 4,Piano,30
18048,0,70.74609375,30.725496722656253,18111,D,70.74609375,0.10398322265625026,63,38,70.5,30.621513500000002,4 4,Piano,31
18176,0,71.4921875,31.0407474453125,18302,D,71.4921875,0.20796644531250053,126,42,71.0,30.832781,4 4,Piano,39
18176,1,71.4921875,31.0407474453125,18302,D,71.4921875,0.20796644531250053,126,30,71.0,30.832781,4 4,Piano,41
18432,0,72.24609375,31.35929922265625,18495,D,72.24609375,0.10398322265625026,63,41,72.0,31.255316,4 4,Piano,49
18432,1,72.4921875,31.4632824453125,18558,D,72.4921875,0.20796644531250053,126,23,72.0,31.255316,4 4,Piano,33
18560,0,72.74609375,31.570566722656253,18623,D,72.74609375,0.10398322265625026,63,37,72.5,31.466583500000002,4 4,Piano,30
18688,0,73.4921875,31.8858174453125,18814,D,73.4921875,0.20796644531250053,126,41,73.0,31.677851,4 4,Piano,38
18688,1,73.4921875,31.8858174453125,18814,D,73.4921875,0.20796644531250053,126,30,73.0,31.677851,4 4,Piano,40
18944,0,74.24609375,32.204369222656254,19007,D,74.24609375,0.10398322265625382,63,40,74.0,32.100386,4 4,Piano,51
18944,1,74.4921875,32.3083524453125,19070,D,74.4921875,0.20796644531250053,126,23,74.0,32.100386,4 4,Piano,30
19072,0,74.74609375,32.41563672265625,19135,D,74.74609375,0.10398322265625382,63,36,74.5,32.3116535,4 4,Piano,31
19200,0,75.4921875,32.730887445312504,19326,D,75.4921875,0.20796644531250053,126,40,75.0,32.522921000000004,4 4,Piano,37
19200,1,75.4921875,32.730887445312504,19326,D,75.4921875,0.20796644531250053,126,30,75.0,32.522921000000004,4 4,Piano,38
19456,0,76.24609375,33.049439222656254,19519,D,76.24609375,0.10398322265625382,63,35,76.0,32.945456,4 4,Piano,34
19456,1,76.4921875,33.1534224453125,19582,D,76.4921875,0.20796644531250053,126,23,76.0,32.945456,4 4,Piano,33
19584,0,76.74609375,33.26070672265625,19647,D,76.74609375,0.10398322265625382,63,37,76.5,33.1567235,4 4,Piano,36
19712,0,77.24609375,33.47197422265625,19775,D,77.24609375,0.10398322265624671,63,38,77.0,33.367991,4 4,Piano,41
19712,1,77.4921875,33.575957445312504,19838,D,77.4921875,0.20796644531250053,126,30,77.0,33.367991,4 4,Piano,42
19840,0,77.74609375,33.68324172265625,19903,D,77.74609375,0.10398322265624671,63,40,77.5,33.5792585,4 4,Piano,36
